Field Name ,Question,Grouping,Max,
record_id,Record ID,,,
country,Country,Facility,,
city,City,Facility,,
town,Town,Facility,,
name_facility,Name of facility,Facility,,
type_facility,Type of facility,Facility,,
type_facility_comment,Please specify.,Facility,,
name_assessor,Name of assessor,,,
external_internal,How are you affiliated to the hospital?,,,
affiliation_comment,Please specify.,,,
position_assessor,"What designations do you hold?    Examples: MD, MBBS, MPH, NP, RN, PT, OT.",,,
date_assessment,Date of assessment,,,
definition_child,What is the age range in years of children cared for at this hospital? ,Population,,
disaggregate_age,"Does this facility collect data in the following age categories?  0-28 days, 28-364 days, 1-4 years, 4 years and above",Population,,"If disaggregate_age is YES, then show age_ranges1-4"
age_range,How many children aged 0-28 days were admitted in the previous calendar year?,Population,,
age_range2,How many children aged 28-364 days were admitted in the previous calendar year?,Population,,
age_range3,How many children aged 1 year to less than 4 years were admitted in the previous calendar year?,Population,,
age_range4,How many children aged 4 years and above were admitted in the previous calendar year?,Population,,
above28_days,How many children above the age of 28 days were admitted in the previous calendar year?,Population,,
prev_cur_services,Does this facility offer diagnostic and treatment services for children with serious infection?,Diagnosis,1,Want to include this in 'Medical Care' section
malaria_diagnose,Malaria,Diagnosis,1,
pneumonia_diagnose,Pneumonia,Diagnosis,1,
diarrhea_diagnose,Diarrhea,Diagnosis,1,
meningitis_diagnose,Meningitis,Diagnosis,1,
malnutrition_diagnose,Malnutrition,Diagnosis,1,
extract_infection,Do you have capacity for extracting/draining sepsis infection?,,,
transfusion_services,Does this facility offer transfusion services?,Blood,1,
blood_availability,Has there been a full day (24 hours) without blood availability during the past 3 months?,Blood,1,
obtain_blood,Does this facility obtain blood from a national or regional blood centre?,Blood,1,
other_blood,Does this facility obtain ANY blood from sources other than the national or regional blood centre?,Blood,1,
screen_blood,Does this facility screen for infectious disease in the blood prior to transfusion if received from other sources?,Blood,,"If other blood yes, then this"
discharge_care,Does this facility have referral clinics that follow-up children post-discharge?,Discharge Care,,Include in medical care section
discharge_notes,Please describe the discharge process and options for post-discharge follow-up. ,Discharge Care,,
separate_opd,Does the facility have a separate operational OPD?,OPD Layout,1,
reception_area,Is there a reception area designated to facilitate the patient flow at OPD?,OPD Layout,1,
separate_adult,Is the paediatric OPD corner/room separate from the adult OPD?,OPD Layout,1,
seating_arrangemnet,Is there seating area for waiting at the OPD?,OPD Layout,1,
separate_er_service,Does the facility have a separate emergency department?,ER Layout,1,
consult_area_near_er,Is there a consultation area for emergency patients near the emergency entrance?,ER Layout,1,
er_mgmt_area,Is the emergency management area equipped to take care of children?,ER Layout,1,
sep_consult_area,Is there a separate consultation area for moderately ill children than emergency patients? ,ER Layout,1,
vpd_control,"Is there a designated area for isolation of potentially infectious patients upon arrival to the emergency department? (e.g., measles)",ER Layout,1,
patient_flow_22,"Is there any system in place to prioritize severely ill children in the emergency department (e.g., triage system)? ",ER Triage,1,
patient_flow_3,"If yes, please describe the triage system. ",ER Triage,,
traige_treatment,"Once the patient is triaged in the emergency department, who does the initial assessment and starts treatment? (eg. doctor, nurse, intern)",ER Triage,,
other_triage,"Other, please specify.",ER Triage,,
ill_diagnosed,How are the severely ill patients diagnosed and handled in the outpatient department (e.g. patients presenting normally to the OPD but severely ill)?,OPD Triage,,
vpd_identify,Is there a system in place to identify and manage potentially infectious children to implement appropriate control measures?,ER Triage,,
patient_flow_4,Do patients come with referral notes when they have been referred from first level units?,ER Triage,1,
sep_ward_pd,Does the facility have a separate ward for admitting children?,Ped Layout,1,
pd_ward_beds,How many beds are there in the paediatric ward?,Ped Layout,,this if sep_ward_pd
tx_malnutrition_together,Is there a separate area where malnourished children are cohorted and treated?,Ped Layout,1,
infants_treat_together,Are infants less than 2 months of age treated together with other children?,Ped Layout,1,
infection_control,Does the facility have a separate arrangement/protocol for admitting paediatric infectious cases (isolation ward)?,Ped Triage,1,
infection_control_beds,Please describe the arrangement. ,Ped Triage,,
surgical_beds,Does the facility have a separate arrangement/protocol for admitting paediatric surgical cases?,Ped Triage,1,
surgical_beds_2,Please describe the arrangement. ,Ped Triage,,
nn_ward_1,Are the most seriously ill babies cared for in a section near the nursing station?,Ped Triage,1,
nn_ward_2,Is there an isolation area in the neonatal unit? Any of the following: designated isolation cot/incubator or a separate isolation room for separating sick (infected) babies from healthy ones.,Ped Triage,1,
operating_time_5,How many days per week is the facility open?,Operating Time,,
er_operating_hours,Please list the operational hours of the facility. ,Operating Time,,
operating_time_4,Is the emergency department open 24 hours?,Operating Time,,
operating_time_1,At what time does the paediatric outpatient/IMCI corner start?,Operating Time,,
operating_time_2,At what time does the paediatric outpatient/IMCI corner end?,Operating Time,,
power_supply_1___0,Does the facility have an uninterrupted supply of electricity for these wards? (click all that apply) (choice=Emergency Room),ER Power,1,
power_supply_1___1,Does the facility have an uninterrupted supply of electricity for these wards? (click all that apply) (choice=Outpatient Department),OPD Power,1,
power_supply_1___2,Does the facility have an uninterrupted supply of electricity for these wards? (click all that apply) (choice=Inpatient Ward),Ped Power,1,
power_supply_2___0,"Is there a back-up power supply in these wards in the case of a power cut (e.g., diesel generator/IPS)? (click all that apply) (choice=Emergency Room)",ER Power,1,
power_supply_2___1,"Is there a back-up power supply in these wards in the case of a power cut (e.g., diesel generator/IPS)? (click all that apply) (choice=Outpatient Department)",OPD Power,1,
power_supply_2___2,"Is there a back-up power supply in these wards in the case of a power cut (e.g., diesel generator/IPS)? (click all that apply) (choice=Inpatient Ward)",Ped Power,1,
power_supply_9,"During the past 7 days, was electricity available at all times from the main or back-up source when the facility was open for services?",Power,3,
water_supply_1___0,Is there clean running water for these wards? (click all that apply) (choice=Emergency Room),ER Hygiene,1,
water_supply_1___1,Is there clean running water for these wards? (click all that apply) (choice=Outpatient Department),OPD Hygiene,1,
water_supply_1___2,Is there clean running water for these wards? (click all that apply) (choice=Inpatient Ward),Ped Hygiene,1,
water_supply_2___0,Is there water for hand-washing available in the area? (click all that apply) (choice=Emergency Room),ER Hygiene,1,
water_supply_2___1,Is there water for hand-washing available in the area? (click all that apply) (choice=Outpatient Department),OPD Hygiene,1,
water_supply_2___2,Is there water for hand-washing available in the area? (click all that apply) (choice=Inpatient Ward),Ped Hygiene,1,
